index,account_id,source,source_group,deal_stage,stage_ordinal,outcome,is_won,is_closed,notes_sentiment,notes_word_count,lead_owner,company
48,8ad7d4bfbcaCAaa,Cold Email,Outbound,Qualified,2,Open,0,0,0.0,6,Martin Cordova,"Castro, Randolph and Gould"
49,24F9ce3F18bd3d1,Networking Event,Events,Disqualified,9,Lost,0,1,0.0,5,Walter Christian,Decker PLC
50,c3Ac06eE1fEFcCf,Networking Event,Events,Closed Lost,8,Lost,0,1,0.3667,8,Reginald Chan,Lucero-Stout
51,afB0ea87CdDafE7,Content Marketing,Inbound,Proposal Sent,4,Open,0,0,0.2667,6,Katherine Dawson,Ramsey Group
52,Fee8b60c6cBacc9,Podcast,Events,Contacted,3,Open,0,0,0.0,6,Lacey Love,"Hamilton, Vazquez and Burgess"
53,2D46fcA2f8D03bF,Chatbot,Inbound,Contacted,3,Open,0,0,0.0,3,Neil Hall,"Stafford, Schneider and Morgan"
54,b1Df10827A9BfDb,Purchased List,Outbound,Disqualified,9,Lost,0,1,0.5,6,Donald Velasquez,"Escobar, Blanchard and Shea"
55,AE4DEDe39bf2782,Podcast,Events,Disqualified,9,Lost,0,1,0.0,6,Roger Jacobs,Huff and Sons
56,cb4C84701Edc0A9,Chatbot,Inbound,Re-engagement,1,Open,0,0,0.8,4,Hannah Gay,Diaz Inc
57,D867CdAe94C5f77,LinkedIn Outreach,Outbound,Closed Won,7,Won,1,1,0.0,5,Hannah Dillon,Wall-Daniels
58,ffF56Cd86D38b45,Google Ads,Paid Ads,On Hold,6,Open,0,0,0.0,5,Lonnie Mcdowell,"Dudley, Zavala and Franklin"
59,BcFEeE2C5AFfd65,Content Marketing,Inbound,Disqualified,9,Lost,0,1,0.4333,5,Jeffery Moran,Rose Ltd
60,EE12a0fE440ff62,Website Form,Inbound,Qualified,2,Open,0,0,0.0,5,Becky Atkins,Murphy PLC
61,011FFe8ffa23Ed6,Podcast,Events,Qualified,2,Open,0,0,0.0,6,Zachary Copeland,"Clements, Booth and Wall"
62,54b2f1f3D4DA3Fb,Organic Search (SEO),Inbound,Contacted,3,Open,0,0,0.15,5,Bryce Higgins,Chan-Sawyer
63,D7cED5a2c7Ce42E,Retargeting Ads,Paid Ads,Proposal Sent,4,Open,0,0,-0.1,4,Darren Bennett,"Holder, Mccormick and Kemp"
64,ac6C5f665Faed37,Chatbot,Inbound,Contacted,3,Open,0,0,0.0,4,Kent Morse,Choi PLC
65,c17C51C70bd52fc,Content Marketing,Inbound,Disqualified,9,Lost,0,1,0.35,8,Howard Thomas,Hunt-Haynes
66,0b4dc78E1ba5F9f,Podcast,Events,Disqualified,9,Lost,0,1,0.0,3,Jill Mitchell,Gay-Fields
67,C1E2d4895BFd0d9,Trade Show,Events,On Hold,6,Open,0,0,0.0,3,Douglas Arias,Jarvis-Watson
68,Ed6Ca2Bce89C4D0,Website Form,Inbound,Contacted,3,Open,0,0,0.0,3,Darryl Cole,Kane LLC
69,4B300DEeaE29De6,Facebook Ads,Paid Ads,New Lead,0,Open,0,0,0.1,7,Tony Murphy,Yoder and Sons
70,49B8eBEAB7FD9f7,Networking Event,Events,Negotiation,5,Open,0,0,0.05,5,Richard Bond,Valencia LLC
71,f45C8ccaD19d3cf,Direct Traffic,Inbound,New Lead,0,Open,0,0,0.0,8,Danny Norman,Roberson-Brady
72,8a6aEda9B2e9d0b,Retargeting Ads,Paid Ads,Proposal Sent,4,Open,0,0,0.0,6,Yvonne Glenn,"Berry, Pollard and Garrett"
73,C5d4e8B0AAe75Be,Facebook Ads,Paid Ads,Contacted,3,Open,0,0,0.0,4,Mikayla Beard,Ferrell and Sons
74,fA08cDF104BA9a7,Other,Other,Contacted,3,Open,0,0,0.0,5,Kristen Novak,Church-Monroe
75,D4C0fA29c81B42d,Organic Search (SEO),Inbound,Disqualified,9,Lost,0,1,0.0,4,Garrett Kelley,"Dougherty, Armstrong and Chandler"
76,09d2BdbF63A853b,Networking Event,Events,Re-engagement,1,Open,0,0,0.0,8,Sophia Keller,James LLC
77,317d602d0fBEBE5,Networking Event,Events,Closed Lost,8,Lost,0,1,0.0,5,Angela Curtis,Wallace LLC
78,99A3Fbc8802f73A,LinkedIn Outreach,Outbound,Negotiation,5,Open,0,0,0.5,4,Sydney Estes,Hatfield and Sons
79,EaAD1E0420c0d7a,Organic Search (SEO),Inbound,Contacted,3,Open,0,0,0.0238,7,Alec Hester,Chapman LLC
80,dccFBdBCAB207A1,Partner Program,Referral / Partner,Closed Won,7,Won,1,1,0.0,7,Eugene Freeman,Carrillo PLC
81,6eBBB6B1f8eF7Bd,Referral,Referral / Partner,Closed Lost,8,Lost,0,1,0.3,8,Walter Vincent,Branch Group
82,AE53D8d99ABE34B,Other,Other,Disqualified,9,Lost,0,1,0.1,7,Barbara Levy,Meyers Inc
83,c34Abf98F74e54f,Referral,Referral / Partner,On Hold,6,Open,0,0,-0.1625,6,Kenneth Cohen,Terry-Baxter
84,f8Ca3073fbCBCEf,Facebook Ads,Paid Ads,Contacted,3,Open,0,0,0.0,7,Autumn Olsen,Sutton LLC
85,D38DBE0DD6B38D9,Organic Search (SEO),Inbound,Qualified,2,Open,0,0,-0.2,8,Mallory Pruitt,"Barron, Wagner and Huffman"
86,881aDdd8A9734Ca,Purchased List,Outbound,Closed Won,7,Won,1,1,0.45,8,Fred Hart,"Shepard, Brewer and Newton"
87,C412E1Bfe99031e,Cold Email,Outbound,New Lead,0,Open,0,0,0.2,4,Jon Holloway,"Day, Parker and Archer"
88,Fa7E2630efcdB85,Organic Search (SEO),Inbound,Proposal Sent,4,Open,0,0,0.0,4,Elijah Moses,Chase and Sons
89,d9FC421CFfA226a,Direct Traffic,Inbound,Closed Lost,8,Lost,0,1,-0.0833,5,Jeanette Zhang,"Vaughan, Rosales and Duke"
90,8Dfc09e0cafD6c9,Direct Traffic,Inbound,New Lead,0,Open,0,0,-0.2,6,Kristina Krueger,Kaufman LLC
91,BE153f9a0A3b361,Organic Search (SEO),Inbound,Qualified,2,Open,0,0,0.0,8,Maria Morton,Dyer Group
92,ddf783dE99a6Ca4,Trade Show,Events,Re-engagement,1,Open,0,0,0.2,8,Dominique Barrera,Dunlap Ltd
93,d62eb8e0ed7C2c4,Website Form,Inbound,Disqualified,9,Lost,0,1,0.0,5,Pedro Horne,Prince PLC
94,cDAB1C7729a3a24,Content Marketing,Inbound,Negotiation,5,Open,0,0,0.2,8,Gwendolyn Cline,Weiss-Spears
95,c52dCC94FFe124D,Cold Email,Outbound,Proposal Sent,4,Open,0,0,0.0,5,Gabriel Howard,"Whitehead, Barrett and Sandoval"
96,fB3cc96aAfc092E,Podcast,Events,Negotiation,5,Open,0,0,0.0,5,Claire Singleton,"Cummings, Waller and Hatfield"
97,bf64d3A595a904D,Trade Show,Events,On Hold,6,Open,0,0,0.0,5,Martin Mendoza,"Lee, Caldwell and Livingston"
98,13FfEF9E8e75d05,Cold Call,Outbound,Closed Lost,8,Lost,0,1,0.0,3,Christopher Reyes,Collier-Bolton
99,0BaF60C24e54254,Content Marketing,Inbound,On Hold,6,Open,0,0,-0.1556,8,Tracy Meyers,Schmitt-Mejia
100,41D2bBfC2A9ebf7,Cold Email,Outbound,Re-engagement,1,Open,0,0,0.2,6,Gary Shaw,Kim and Sons
101,824FfCE4Ec097eb,Organic Search (SEO),Inbound,On Hold,6,Open,0,0,0.0,4,Nicolas Evans,Perkins-Flynn
102,70aECC432b0deF7,LinkedIn Outreach,Outbound,Negotiation,5,Open,0,0,0.0,4,Alexandra Cooper,"Wilcox, Alexander and Mccann"
103,623A96dD71FE2fA,Content Marketing,Inbound,New Lead,0,Open,0,0,-0.3,7,Kara Lynch,"Dalton, Duran and Espinoza"
104,1aFAda4b5dee8BC,Chatbot,Inbound,Closed Won,7,Won,1,1,0.0,6,Javier Curtis,George LLC
105,53a9ebAfe14fDbD,Social Media,Social Media,Contacted,3,Open,0,0,0.0,5,Hailey Walton,Mckay PLC
106,d3A10Ed95E1DBB6,Partner Program,Referral / Partner,Negotiation,5,Open,0,0,0.0,4,Dana Barr,Calderon Group
107,a80AeAB8dBF02Bb,Purchased List,Outbound,Negotiation,5,Open,0,0,0.05,4,Becky Davis,Barr Group
108,FD68eB15FD7fc40,Retargeting Ads,Paid Ads,Disqualified,9,Lost,0,1,0.0,8,Riley Schmitt,"Fitzgerald, Ross and Gonzales"
109,8aC4a9fd89c18C3,Partner Program,Referral / Partner,Disqualified,9,Lost,0,1,-0.3889,4,Rick Krueger,"Young, Sandoval and Garner"
110,F3f7D0366AAf7eC,Website Form,Inbound,Negotiation,5,Open,0,0,0.25,7,Kurt Ellis,"Jacobson, Graves and Kramer"
111,eD4aEBc8b40Ede6,LinkedIn Outreach,Outbound,Contacted,3,Open,0,0,-0.125,4,Laurie Bell,"Goodwin, Kramer and Byrd"
112,ceE04Feaf2D87E5,Referral,Referral / Partner,Closed Lost,8,Lost,0,1,0.35,5,Nancy Stewart,Daniel-Lee
113,0adBAef43eD1bF6,Direct Traffic,Inbound,Disqualified,9,Lost,0,1,0.0,6,Seth Murray,Holmes-Waters
114,e6fF42248947CBc,Website Form,Inbound,On Hold,6,Open,0,0,0.1429,7,Meghan Curtis,Moreno-Andersen
115,10bCFb8bee7DDF0,LinkedIn Outreach,Outbound,Proposal Sent,4,Open,0,0,0.3304,7,Randy Blake,Thomas-Green
116,ECeA5144F70Cff0,Google Ads,Paid Ads,Proposal Sent,4,Open,0,0,-0.2,4,Glenn Humphrey,Roy and Sons
117,17B9DC2195cC486,Direct Traffic,Inbound,Closed Won,7,Won,1,1,0.0,4,Norma Reid,Liu-Heath
118,6e6757dDaFA346B,Chatbot,Inbound,Contacted,3,Open,0,0,0.25,6,Alexander Brooks,Bright-Moses
119,Cdb62Bf0CF24D1D,Organic Search (SEO),Inbound,Disqualified,9,Lost,0,1,0.0,3,Anne Stephenson,Zuniga-Perkins
120,b496D70fcaAE449,Referral,Referral / Partner,Negotiation,5,Open,0,0,0.2,8,Tammy Ewing,"Hines, Ewing and Stokes"
121,665A9dB3AfE1b81,Other,Other,Proposal Sent,4,Open,0,0,0.205,4,Vernon Clark,Eaton LLC
122,5B8EA0EdFfa19d9,Podcast,Events,Proposal Sent,4,Open,0,0,0.0,6,Jordan Arnold,Glover Ltd
123,7cD4C81f8CFcD52,Webinars,Events,Disqualified,9,Lost,0,1,0.0,5,Jocelyn Saunders,Jackson and Sons
124,7fdb77F9F0C9fFc,Networking Event,Events,New Lead,0,Open,0,0,0.0,5,Faith Cervantes,Schmitt-Hatfield
125,bD4cD5f60A12F3F,Cold Call,Outbound,Closed Lost,8,Lost,0,1,0.0,6,Christian Bruce,"Osborn, Schwartz and Coleman"
126,6983c0AeAAc4A3F,Organic Search (SEO),Inbound,Negotiation,5,Open,0,0,0.1,6,Francis Hoover,"Yoder, Brown and Schaefer"
127,d65DC028ba59Ace,Webinars,Events,Qualified,2,Open,0,0,-0.0417,5,Jonathon Meadows,"Zimmerman, Rich and Garner"
128,1cED18D2BE3175b,Podcast,Events,Re-engagement,1,Open,0,0,0.0,4,Dustin Little,"Oconnor, Le and Reyes"
129,d2Ba6DfAED64C50,Google Ads,Paid Ads,New Lead,0,Open,0,0,0.1875,8,Samantha Stewart,"Villanueva, Cunningham and Esparza"
130,9CEf319c45cA0eb,Trade Show,Events,Qualified,2,Open,0,0,0.25,5,Wyatt Shaw,"Ross, Berry and Alvarado"
131,8e59a31a9bE3F85,LinkedIn Outreach,Outbound,Closed Won,7,Won,1,1,0.0,4,Mason Mccormick,Odonnell LLC
132,B40B9b7F14C8F5F,Webinars,Events,Closed Won,7,Won,1,1,0.0,4,Eric Acosta,Hinton Ltd
133,dee9f7F1B02FEbD,Referral,Referral / Partner,Contacted,3,Open,0,0,0.0,8,Danny Oneal,"Figueroa, Mcneil and Foley"
134,42f706c154Fc2C4,LinkedIn Outreach,Outbound,Proposal Sent,4,Open,0,0,0.0333,5,Jeffery Mathews,Zuniga and Sons
135,E354f8Bde33Ad0B,Direct Traffic,Inbound,Qualified,2,Open,0,0,0.0,6,Krista Benton,Crawford Group
136,c6dD9AA7b22f3CC,Cold Call,Outbound,Closed Lost,8,Lost,0,1,-0.2,4,Warren Saunders,"Molina, Liu and Kelley"
137,4DF06Bc4fCbD3A3,Facebook Ads,Paid Ads,New Lead,0,Open,0,0,0.0,4,Christie Newman,"Lawson, Dillon and Higgins"
138,c5b0F7f61CAbF57,Retargeting Ads,Paid Ads,Closed Lost,8,Lost,0,1,0.0833,3,Alexandria Gamble,Wolfe Group
139,bD3b2fb6df63AF8,Podcast,Events,Closed Won,7,Won,1,1,-0.3889,7,Caleb Gross,"Ingram, Zavala and Benitez"
140,dE5193fED0b95Ac,Partner Program,Referral / Partner,Negotiation,5,Open,0,0,0.0,5,Reginald Davila,"Brady, Robbins and Patel"
141,5BaDeCCE33e636E,Google Ads,Paid Ads,Closed Lost,8,Lost,0,1,-0.0333,8,Jonathan King,"Hayes, Vincent and Santiago"
142,54AeE85e1541EBd,Other,Other,New Lead,0,Open,0,0,0.2,5,Joel Ortega,Woodard Group
143,cb892242cB54F6E,Trade Show,Events,Closed Won,7,Won,1,1,1.0,5,Marcus Griffin,"Huffman, Hale and Novak"
144,8F1A105d16a613A,Website Form,Inbound,Closed Lost,8,Lost,0,1,0.0,5,Ana Blevins,"Bauer, Silva and Henderson"
145,bAF1C17c0B40ec5,Trade Show,Events,New Lead,0,Open,0,0,-0.1333,7,Adam Arroyo,"Ellison, Mullen and Barnett"
146,DDCA6d0A5D59185,Podcast,Events,Disqualified,9,Lost,0,1,0.1071,6,Oscar Brooks,"Cisneros, Moyer and Wolfe"
147,BfeEF3f13E1DC8b,Webinars,Events,Re-engagement,1,Open,0,0,0.0,6,Jo Stuart,"Schroeder, Glenn and Gray"
148,bceB35B0254c999,Partner Program,Referral / Partner,Negotiation,5,Open,0,0,0.0,6,Tasha Roberson,Frey-Gardner
149,dC827A742cE6C62,Cold Call,Outbound,Closed Won,7,Won,1,1,0.2,5,Kathryn Greene,Prince-Sandoval
150,c7Ff875b950995B,Cold Email,Outbound,Qualified,2,Open,0,0,-0.05,7,Anne Zuniga,"Stanton, Young and Mccoy"
151,70CEFFDAe79CA5b,Trade Show,Events,On Hold,6,Open,0,0,0.0,3,Brittney Mcpherson,Allison-Callahan
152,74BcC5ff76f924b,Other,Other,Disqualified,9,Lost,0,1,0.0,3,Brooke Porter,"Mcknight, Reyes and Stafford"
153,6617C8C59EA0Eaf,Organic Search (SEO),Inbound,New Lead,0,Open,0,0,0.0,7,Duane Bennett,Reilly Ltd
154,67ffe8a9faEEE5b,Google Ads,Paid Ads,New Lead,0,Open,0,0,0.0,4,Amy Blair,Terrell-Crosby
155,0CB2fAFdaD3CCED,Cold Email,Outbound,Re-engagement,1,Open,0,0,0.0,5,Paige Melton,Schaefer Group
156,b8FfD9eaB908534,Retargeting Ads,Paid Ads,Closed Lost,8,Lost,0,1,-0.15,3,Danielle Barber,"Oconnell, Mcgee and Kelly"
157,5c42ce1C4dafe95,Website Form,Inbound,Proposal Sent,4,Open,0,0,0.2143,6,Ricardo Nolan,Sawyer Inc
158,ca9f9c885Fb2FCb,Retargeting Ads,Paid Ads,New Lead,0,Open,0,0,-0.4,5,Tracy Burke,Bridges Inc
159,CDB1C9A3C57B0c0,Facebook Ads,Paid Ads,Qualified,2,Open,0,0,0.0,4,Emily Fisher,Rubio PLC
160,682Da0F1a213CDd,Webinars,Events,Qualified,2,Open,0,0,0.0,6,Angela Butler,Garner-Lynn
161,d37C5d396Cc3E9C,Website Form,Inbound,New Lead,0,Open,0,0,0.2,5,Keith Yang,Carson-Boyer
162,740E2CA8BaeCeC6,Retargeting Ads,Paid Ads,On Hold,6,Open,0,0,0.0,7,Pamela Knapp,"Little, Ferrell and Case"
163,beAbbAbe9dB1fca,Google Ads,Paid Ads,Proposal Sent,4,Open,0,0,0.1,8,Elaine Foley,"Brock, Avila and Shields"
164,aCeabB95340f524,Content Marketing,Inbound,Qualified,2,Open,0,0,0.0,5,Jordan Aguilar,"Mills, Wells and Coleman"
165,eEf88B2eC4aBc00,Referral,Referral / Partner,Closed Lost,8,Lost,0,1,0.2,6,Shawna Holmes,Holden-Calhoun
166,87CC5Aec21Cb1df,Google Ads,Paid Ads,New Lead,0,Open,0,0,0.25,6,Dennis Simon,Conner and Sons
167,3B85AfcF0F76B7A,Facebook Ads,Paid Ads,On Hold,6,Open,0,0,0.0556,7,Kaitlyn Riley,Dodson-Peterson
168,44c22fF1BBa1Af3,Webinars,Events,Re-engagement,1,Open,0,0,0.0,8,Misty Henry,Hardy-Neal
169,aaC63F87A061A42,Retargeting Ads,Paid Ads,New Lead,0,Open,0,0,0.8,4,Curtis Howell,Walker-Ho
170,B8CE01Cbc782249,Website Form,Inbound,Re-engagement,1,Open,0,0,0.0,4,Sierra Orr,Gonzales Inc
171,1e7Ac2EFF926df8,Other,Other,On Hold,6,Open,0,0,-0.2917,4,Shannon Orozco,"Cooke, Atkins and Villarreal"
172,7a1cfeBcF7F1Cd2,Website Form,Inbound,Proposal Sent,4,Open,0,0,0.1,7,Douglas Frey,Harrington and Sons
173,FfCeAB76fD8D2b1,Trade Show,Events,Contacted,3,Open,0,0,0.125,5,Jon Whitney,"Espinoza, Curtis and Hickman"
174,226dA4ddae3Fa49,Content Marketing,Inbound,Qualified,2,Open,0,0,0.0,6,Shaun Peterson,Ewing-Whitaker
175,Bf7D22330fc52b7,Facebook Ads,Paid Ads,Proposal Sent,4,Open,0,0,0.1364,5,Becky Cox,Dorsey-Hartman
176,bc53CDEf233E74B,Website Form,Inbound,Disqualified,9,Lost,0,1,0.0,4,Felicia Hull,Choi-Pineda
177,c3AD4B2A2Fc7e3d,Partner Program,Referral / Partner,Disqualified,9,Lost,0,1,0.0,4,Gabriela Orozco,Lambert LLC
178,263B3B8bD639BC3,Facebook Ads,Paid Ads,Disqualified,9,Lost,0,1,0.0,6,Kristie Calhoun,Collins Group
179,dffDfeF5Dc38DE5,Podcast,Events,Proposal Sent,4,Open,0,0,0.0,6,Destiny Baker,Davenport PLC
180,c1DBDb6c55aa9bf,Referral,Referral / Partner,Qualified,2,Open,0,0,0.0,5,Cassandra Cisneros,"Roy, Hull and Cowan"
181,DDab39fDa3ed781,Networking Event,Events,On Hold,6,Open,0,0,0.5,3,Ross Pugh,"Shannon, Bean and Daniel"
182,52EeDE0a60e7477,Website Form,Inbound,Re-engagement,1,Open,0,0,0.0,6,Latasha Mason,"Dixon, Mendoza and Cervantes"
183,b673ED83c194BCd,Social Media,Social Media,Proposal Sent,4,Open,0,0,0.1786,6,Henry Weber,Conrad and Sons
184,F0cd70e4809a32A,Cold Call,Outbound,Negotiation,5,Open,0,0,0.0,6,Darren Ibarra,Haas-Fernandez
185,2CbFF2aE3dF0266,Webinars,Events,On Hold,6,Open,0,0,0.1667,8,Cristina Chandler,Page-Melendez
186,bAc4D6ACefeeBa9,Other,Other,New Lead,0,Open,0,0,0.0,4,Kathy Rowe,"Farrell, Logan and Lane"
187,B62ad3FfB4Ec234,Chatbot,Inbound,Disqualified,9,Lost,0,1,-0.2,4,Brett Waller,"Meadows, Collier and May"
188,aAEcCA3fB08DBaa,Cold Call,Outbound,Proposal Sent,4,Open,0,0,0.6,5,Richard Wade,Estrada Ltd
189,2F6776e494DC292,Networking Event,Events,Closed Lost,8,Lost,0,1,0.15,7,Gregg Patrick,"Villegas, Dougherty and Hill"
190,6CF743A108cE2f3,Website Form,Inbound,Negotiation,5,Open,0,0,0.0,7,Harry Petersen,Winters-Case
191,FDC0B9344D68edc,Direct Traffic,Inbound,Proposal Sent,4,Open,0,0,0.0,5,Bobby Hansen,Donaldson-Ritter
192,9b7b9b05d5eFE38,Retargeting Ads,Paid Ads,On Hold,6,Open,0,0,0.5,5,Dan Garza,Johns-Deleon
193,4F28Ce113bD9FCB,Purchased List,Outbound,New Lead,0,Open,0,0,0.25,6,Jack Stephens,"Nicholson, York and Silva"
194,fBee7A6376B1D71,Direct Traffic,Inbound,Qualified,2,Open,0,0,0.0,8,Leonard Snow,"Acosta, Harvey and Dawson"
195,bA6b0B089F12CDC,Trade Show,Events,Negotiation,5,Open,0,0,0.05,4,Duane Terrell,Church-Riddle
196,eeA10f7ceab0ede,Content Marketing,Inbound,Negotiation,5,Open,0,0,-0.1,5,Geoffrey Lucas,Mitchell-Hunt
197,7DbA706BfE90B0c,Content Marketing,Inbound,Disqualified,9,Lost,0,1,0.0,8,Marcia Knight,Suarez-Mcintyre
198,565E721E2a01997,Cold Call,Outbound,Proposal Sent,4,Open,0,0,-0.0889,7,Ann Ross,"Quinn, Schmitt and Patterson"
199,cC5b6cF0cc64D31,LinkedIn Outreach,Outbound,Closed Lost,8,Lost,0,1,0.85,7,Alexa Fry,Hood-Waller
200,dB8c72fb1e3e90d,Google Ads,Paid Ads,Closed Lost,8,Lost,0,1,0.3,6,Patrick Pruitt,"Pittman, Johnson and Taylor"
201,6ad81Ef242B248d,Website Form,Inbound,On Hold,6,Open,0,0,0.0,6,Loretta Fowler,Ballard-Leonard
202,f4f6020B8FACbAA,Webinars,Events,Closed Won,7,Won,1,1,0.0,3,Melanie Finley,Olsen-Mccormick
